isolate_number,isolate_id,species,run,rep,dose,a,b,fungicide
21,17PR008H.2,Pythium torulosum,2,3,0,40.38,40.34,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,1,0.01,29.62,29.59,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,2,0.01,32.14,30.62,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,3,0.01,29.21,28.48,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,1,0.1,9.17,9.96,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,2,0.1,10.83,11.8,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,3,0.1,13.04,11.24,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,1,0.5,7.3,6,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,2,0.5,8.04,4.79,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,3,0.5,4.79,3.92,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,1,1,4.11,4.1,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,2,1,0,0,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,3,1,6.14,0,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,1,10,0,0,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,2,10,0,0,Azoxystrobin
21,17PR008H.2,Pythium torulosum,2,3,10,0,0,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,1,0,39.66,39.3,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,2,0,37.48,37.57,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,3,0,39.14,38.88,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,1,0.01,30.55,30.53,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,2,0.01,29.94,28.38,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,3,0.01,29.68,28.83,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,1,0.1,13.63,15.83,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,2,0.1,13.14,13.65,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,3,0.1,13.97,13.33,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,1,0.5,5.82,4.47,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,2,0.5,6.49,6.13,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,3,0.5,6.35,4.86,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,1,1,0,0,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,2,1,5.2,4.47,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,3,1,4.09,4.34,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,1,10,0,0,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,2,10,0,0,Azoxystrobin
22,17PR013G.1,Pythium torulosum,1,3,10,0,0,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,1,0,40.37,40.7,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,2,0,42.74,42.37,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,3,0,42.19,42.08,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,1,0.01,31.56,29.95,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,2,0.01,31.7,31.58,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,3,0.01,33.36,32.04,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,1,0.1,14.61,13.83,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,2,0.1,14.52,15.04,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,3,0.1,12.93,13.29,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,1,0.5,6.93,7.99,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,2,0.5,11.6,11.59,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,3,0.5,6.32,5.96,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,1,1,0,0,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,2,1,0,0,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,3,1,0,0,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,1,10,0,0,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,2,10,0,0,Azoxystrobin
22,17PR013G.1,Pythium torulosum,2,3,10,0,0,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,1,0,46.16,43.14,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,2,0,42.99,42.51,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,3,0,41.43,43.17,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,1,0.01,40.91,40.32,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,2,0.01,40.15,40.64,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,3,0.01,40.16,39.42,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,1,0.1,36.61,35.25,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,2,0.1,34.7,35.73,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,3,0.1,35.64,34.26,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,1,0.5,31.95,31.91,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,2,0.5,31.93,29.63,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,3,0.5,28.64,31.46,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,1,1,25.35,25.56,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,2,1,28.44,27.17,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,3,1,29.69,27.67,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,1,10,22.5,22.25,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,2,10,22.35,22.01,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,1,3,10,19.97,17.66,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,1,0,39.87,39.84,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,2,0,40.19,40.25,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,3,0,40.19,41.25,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,1,0.01,40.32,38.46,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,2,0.01,40.64,39.67,Azoxystrobin
24,16PR021B.1,Pythium ultimum var. sporangiiferum,2,3,0.01,37.75,37.77,Azoxystrobin
